frame: 0, time: 0, x: 0
frame: 574, time: 9.56667, x: -0.141413
frame: 575, time: 9.58333, x: -0.157892
frame: 576, time: 9.6, x: -0.174327
frame: 577, time: 9.61667, x: -0.190713
frame: 578, time: 9.63333, x: -0.207047
frame: 579, time: 9.65, x: -0.223323
frame: 580, time: 9.66667, x: -0.239537
frame: 581, time: 9.68333, x: -0.255684
frame: 582, time: 9.7, x: -0.271761
frame: 583, time: 9.71667, x: -0.287762
frame: 584, time: 9.73333, x: -0.303683
frame: 585, time: 9.75, x: -0.319519
frame: 586, time: 9.76667, x: -0.335267
frame: 587, time: 9.78333, x: -0.350922
frame: 588, time: 9.8, x: -0.366479
frame: 589, time: 9.81667, x: -0.381935
frame: 590, time: 9.83333, x: -0.397284
frame: 591, time: 9.85, x: -0.412523
frame: 592, time: 9.86667, x: -0.427648
frame: 593, time: 9.88333, x: -0.442653
frame: 594, time: 9.9, x: -0.457536
frame: 595, time: 9.91667, x: -0.472292
frame: 596, time: 9.93333, x: -0.486916
frame: 597, time: 9.95, x: -0.501405
frame: 598, time: 9.96667, x: -0.515755
frame: 599, time: 9.98333, x: -0.529962
frame: 600, time: 10, x: -0.544021
frame: 601, time: 10.0167, x: -0.557929
frame: 602, time: 10.0333, x: -0.571683
frame: 603, time: 10.05, x: -0.585277
frame: 604, time: 10.0667, x: -0.598709
frame: 605, time: 10.0833, x: -0.611975
frame: 606, time: 10.1, x: -0.625071
frame: 607, time: 10.1167, x: -0.637993
frame: 608, time: 10.1333, x: -0.650738
frame: 609, time: 10.15, x: -0.663302
frame: 610, time: 10.1667, x: -0.675681
frame: 611, time: 10.1833, x: -0.687874
frame: 612, time: 10.2, x: -0.699875
frame: 613, time: 10.2167, x: -0.711681
frame: 614, time: 10.2333, x: -0.72329
frame: 615, time: 10.25, x: -0.734698
frame: 616, time: 10.2667, x: -0.745902
frame: 617, time: 10.2833, x: -0.756899
frame: 618, time: 10.3, x: -0.767686
frame: 619, time: 10.3167, x: -0.778259
frame: 620, time: 10.3333, x: -0.788616
frame: 621, time: 10.35, x: -0.798754
frame: 622, time: 10.3667, x: -0.808671
frame: 623, time: 10.3833, x: -0.818362
frame: 624, time: 10.4, x: -0.827826
frame: 625, time: 10.4167, x: -0.837061
frame: 626, time: 10.4333, x: -0.846063
frame: 627, time: 10.45, x: -0.854829
frame: 628, time: 10.4667, x: -0.863359
frame: 629, time: 10.4833, x: -0.871648
frame: 630, time: 10.5, x: -0.879696
frame: 631, time: 10.5167, x: -0.887499
frame: 632, time: 10.5333, x: -0.895055
frame: 633, time: 10.55, x: -0.902363
frame: 634, time: 10.5667, x: -0.909421
frame: 635, time: 10.5833, x: -0.916225
frame: 636, time: 10.6, x: -0.922775
frame: 637, time: 10.6167, x: -0.929069
frame: 638, time: 10.6333, x: -0.935105
frame: 639, time: 10.65, x: -0.940881
